LOWER_ARM_L,LOWER_ARM_R,LOWER_LEG_L,LOWER_LEG_R,UPPER_ARM_L,UPPER_ARM_R,UPPER_LEG_L,UPPER_LEG_R,name
12.736370251793986,14.886079234599343,17.561936279920705,19.133256592130852,12.545238141066669,6.4726309021681,19.863165604670076,18.89312354186961,02010305305
16.573307940062623,11.976225886916883,17.91089847613685,18.2452436201511,14.591876809025466,10.3978136435591,19.697958174315264,20.05621024193474,01010204368
16.551647394987828,17.558513989616447,19.86685867627616,22.634983499004054,17.122097088493742,17.01680030016718,20.438316587389718,22.842011193191905,01010207351
14.365549786294725,17.520141559599008,19.508549905526404,18.0918733833435,15.188376332423882,12.152124276353389,20.53104032417121,19.889361789956574,02010305309
13.5610661107366,13.592011924320357,13.882923747969336,14.722696890715955,14.660260337917316,15.120251391648747,18.686674452122663,19.773369955703885,02010512333
17.261013043901844,14.63585965866302,20.660574374162923,18.44884048599963,12.948375642943255,16.69540590040615,23.145031645576672,24.527083788641047,02021032314
12.246802573256707,16.562124011061176,17.222420047451276,16.674063154353814,14.473714533049176,12.642881973875276,21.383104122641253,21.801884407723705,02010101304
13.354292350890985,14.553499408982995,14.172227831036965,12.836000123603185,14.871558549174997,13.759168347471602,16.54439740929884,18.901508410237263,02010408342
15.046529913515752,15.08934817559139,15.356983371299062,15.041844359055776,17.672397077176036,16.750322362352016,17.873041054082947,17.517807646304544,02021034344
12.869807749480632,13.951542323833129,16.037004377677725,17.118418706026098,11.574252070489973,9.651870320383058,16.995056150562664,16.1157113454758,01010101378
17.199539819247505,13.906548566494118,17.765107630861102,17.48131005914329,13.600658975910152,15.508849535789155,18.733320355036778,20.90075956896326,02021240323
11.719961082859268,13.363790005968522,12.702258845055326,14.748420086768093,14.539597657390186,9.837215961000375,17.174440772678615,18.734849628155715,02021137318
8.231280009930908,22.757067145924307,9.400418801880194,3.663486624486965,16.418397457583875,17.981008134501135,51.554279062954045,21.529666468618995,02010202331
16.544351047194333,16.334994181185245,16.943412092470318,20.591960658086055,16.966824565117864,15.8862451086541,19.946535134947112,23.292821985544776,02021240317
15.37095934234062,11.027444233912878,25.89194087966489,13.856386261737724,8.293611787516967,13.232309505535824,10.996308538144703,18.518206364916576,01010413315
13.676256722525782,16.791917846397215,18.42093293166941,16.029612654502326,15.500822216645885,12.078320245778674,17.493437358329018,20.795600911782937,02021240324
10.549189502176924,10.882215045361683,10.343844404793956,11.488022856339542,11.703865649341038,10.782697546429862,15.68668268607663,16.33282030205384,02010512338
14.30202576410738,16.42868730699062,13.88683707953334,12.89953198090179,14.333433580919975,10.74463839930494,20.217000330272366,21.01827503751558,01010308337
13.434653975157529,15.243020297809139,16.390389167392016,17.922704110751813,15.688365762280942,10.465064627443349,21.472457686177194,20.36611767863004,01010412335
12.033620749023285,13.493051480998885,14.213087881872672,12.865933221056872,13.981726736945989,12.604340251242222,18.678492927356146,18.639858228648432,02021034326
11.04102362725934,17.657149325749835,20.065505144268357,16.47045658920591,21.91325104918341,11.494997936452087,16.422487087403333,17.915755913043125,01010308338
15.61761563182622,14.583650719614191,15.053371552772187,18.96167324631964,13.6554400837962,21.292334010839426,23.336072443637658,24.7692551199114,02010305329
14.297377287602487,12.356760273719189,16.78370677113851,15.048016830660364,14.550259587530608,15.575567436611342,16.601355584506013,19.41448891512783,01010620366
15.727453458211844,16.66376495696476,21.885217821334184,21.959560218513115,15.944769950681895,15.964242129587436,22.533973344488093,23.414137751899087,02010513336
15.173770952471074,16.223678208591522,16.552253659710193,18.041941957397615,15.542786027722354,14.450707183723512,20.080166155348703,19.303114269896014,02021033303
14.917617010284166,18.30997476395722,22.611613843666795,22.668409203689915,17.038175881070593,15.854812958425743,24.26940544028486,23.656181604050285,02020614301
14.799529926791195,15.060103878627906,16.254626215585454,14.25849377950208,14.936026958301273,11.259006740097808,16.784766958447403,19.170455814621803,02021136328
10.463549507715703,13.067739555288,15.55780930278266,15.445035699061307,14.87780144678625,10.723683657103301,16.090340406724895,15.65915080948795,02010304304
16.835740603139943,16.72445425248676,19.011903438998957,18.626685017566533,15.139890087977026,16.591317066987735,19.780065287143092,21.417497831351938,02021033316
13.005068107493793,14.903650873402018,18.455534431838934,17.154705558798298,14.105367483179576,15.130118571956276,19.652456193153565,21.025938933765257,02021137325
13.488590108267603,15.847007542908138,14.843387454987106,15.677750557534358,16.174143627709586,11.230546606455876,20.730578628611887,21.981199080911864,01010412308
15.715970325038553,15.214311500913936,13.462823820732513,15.350402843081344,16.27124319737205,17.167158084886704,21.280797074222633,21.236738128870694,010101023201
11.060229295344294,15.05360583376839,8.834466562778323,21.04749372353432,19.24319167343156,13.40864397307701,13.974508454243114,17.63456370070099,02021242327
16.316320066060044,17.707740597871666,22.41296266936337,22.803765243542113,13.894985804495295,14.53168391017176,23.687238252364267,24.930267003399546,02021135314
12.838419008796853,13.279257958234151,24.106582868929337,21.76829255791617,16.124842139986647,14.748539348958872,21.760050449259545,23.173021361279346,02020614326
14.131396677667913,14.411079798597527,17.734097521548318,16.28337635808346,13.725909839487814,13.337204805836043,16.859844557204173,17.58343274441463,01010309393
11.702965484102627,13.842996463244617,16.490410810717655,14.441261690388634,13.614430270341261,12.432403507770257,17.676409422637143,17.921954295420775,01010309388
13.317391561058278,12.316360670309177,16.037959078888676,13.00721856197927,15.326513077099216,15.087585706040757,17.903157494026853,19.95668995822331,02010512330
16.254134711342363,15.714443012767665,16.58694863035634,18.10644883146843,17.4127612213341,11.874508834052552,18.85851770227995,20.491372145547054,01010621343
15.018566726080728,17.420376695088674,17.88221367664982,15.547832427270777,14.85063351765174,11.47767982106071,17.73526297234779,20.149688280824588,02020925313
15.099468070796837,15.937421409950101,17.48915925693564,18.24518464433729,13.593785125637421,15.525831684561863,22.035624038088308,23.781880097105546,01010103360
12.371827545639762,15.7746285058953,18.54137967969688,20.316286021355364,15.545275837066688,14.01484267604416,19.955146710552388,19.900552028844363,02020821312
14.214036249512299,15.379663355375984,17.508595694490168,16.57607157203192,16.059907517882735,16.068506711863293,17.127431710848178,21.075884243226525,01010309372
15.832619345856616,16.727316605165765,19.79035815819789,18.662282503661796,15.649520820446506,15.567024245916164,21.757419288684254,21.954830488775627,02021136324
