EYE,HIP,LOWER_ARM_L,LOWER_ARM_R,LOWER_LEG_L,LOWER_LEG_R,SHOULDER,UPPER_ARM_L,UPPER_ARM_R,UPPER_LEG_L,UPPER_LEG_R,name,Age_M
1.6535732290589742,15.718880060778234,15.152567476346777,17.710094446158195,20.893584218731252,22.762997292237397,15.835946755819194,14.925175986665144,7.700543762126794,23.631376221668763,22.477308970097745,02010305305,43.5944709777832
5.38440585031425,10.44899735114837,15.587977112515333,11.264204810211751,16.846044043851393,17.16051140736284,17.405107119009635,13.724347761492975,9.779633714775862,18.52685790277728,18.863810854521123,01010204368,35.27667236328125
2.508397365495581,10.665517963654274,12.58052411669944,13.345820112544553,15.100339484977019,17.20432709776946,15.310577485415447,13.0141097263523,12.934076074514445,15.534691417499447,17.36168405671142,01010207351,41.72050094604492
2.7805741139483664,11.566318685939287,12.085032000114039,14.738835237359432,16.411585591317476,15.219805161116026,16.953852194965553,12.777235590539869,10.222985749504847,17.271756598550446,16.73194394013284,02010305309,39.05749130249024
5.509585905490487,9.947917717163062,13.885691104183092,13.91737769909258,14.21525337411389,15.075129018296206,16.11456543093797,15.011197858408599,15.482200184526993,19.133996330950048,20.24670516695276,02010512333,43.298583984375
5.239735016047435,9.260055484570936,13.119696529013114,11.124378196951914,15.703624417333126,14.02253667689554,17.423478448698617,9.841760651417683,12.689791629547953,17.592002889520426,18.64246873750741,02021032314,38.76160049438477
5.413179821085473,11.561667299012713,10.859929731262284,14.686568341792608,15.272090033200149,14.78583108593044,16.193540118338646,12.834658012900832,11.211155647822013,18.961602983234545,19.332959052839573,02010101304,31.72599220275879
4.793528595358128,10.928602858676213,11.680880105506168,12.729815795933444,12.396320956026964,11.227534528856378,16.919061374050862,13.008019281780848,12.035021519322074,14.471236474239154,16.532980389520027,02010408342,27.583532333374023
2.9506900413763333,11.67077412572618,12.657907159877105,12.693928062318792,12.919076417418276,12.65396543286843,14.608080965896413,14.866920331872675,14.091224128043745,15.035712262402447,14.736871830649026,02021034344,35.83557891845703
5.189318840045886,12.684999715711553,13.17788539044317,14.285514542422714,16.4208984165751,17.528199656497122,19.46369172540758,11.851316681181322,9.882916929397084,17.40188404642634,16.501489472887823,01010101378,39.48488998413086
2.31681074028116,1.268617187842758,12.814075782093804,10.360717151223174,13.23543756700734,13.02400146877542,12.046525619205427,10.132821961241977,11.554470371486206,13.956779611687546,15.571574579007251,02021240323,36.55886459350586
4.120321199340951,10.533096622080123,10.694051219422148,12.193987147145315,11.590363289691036,13.457413271117627,16.265941593677756,13.266870167796444,8.976112684991099,15.671071600789773,17.094889658352887,02021137318,31.92325210571289
0.3761883174269298,3.734151454548401,6.602320249453666,18.253472735035047,7.5400879734523265,2.9384873185301803,7.781092621904683,13.169217651082494,14.422589678492109,41.3517533351637,17.26897307809359,02010202331,26.89312171936035
3.364995613285937,10.619950269468003,12.448593432174404,12.29106543366017,12.748862006812857,15.49416749394442,18.27160482406289,12.766478433857946,11.953409714129672,15.008524998485663,17.52639737629561,02021240317,33.468456268310554
5.1808480747654455,11.036003087932633,13.26675546696754,9.51784484094964,22.34746970343541,11.959519513134707,17.833825552664177,7.158259746342703,11.420875598155215,9.490971458953736,15.983160846275425,01010413315,32.48215484619141
