LOWER_ARM_L,LOWER_ARM_R,LOWER_LEG_L,LOWER_LEG_R,UPPER_ARM_L,UPPER_ARM_R,UPPER_LEG_L,UPPER_LEG_R,name
53.41897508319917,59.82925209318307,99.35929365475046,119.65850418636614,55.55573408652714,55.55573408652714,122.8636426913581,141.0260942196458,02020926317
69.7466009455857,83.5426319018554,108.06890915744597,82.00973957338098,60.54924697473923,62.082139303213644,146.39121736930625,160.95369448981316,02021027317
40.57826295942639,39.91304553386202,74.5043516632091,68.5173948331298,30.60000157596088,41.908697810555125,105.76957066473436,142.35652907077454,02021135323
68.91047785732692,88.14130888727863,129.808109452174,116.1862708059582,57.692493089855105,73.71818561481486,147.4363712296297,153.04536361336562,01010518306
86.02591747398394,108.59009254912726,201.6673147340935,155.12870364161037,115.64139726010956,110.00035349132372,196.02627096530767,210.12888038727226,02020618313
75.03311423224746,86.78528875055127,135.60201367273635,131.0819465503118,55.144818893579455,84.07324847709654,174.47459092558745,210.63512790498382,02021136324
77.5643518208052,86.37848270953306,149.8402251083737,149.8402251083737,89.9041350650242,86.37848270953306,208.0134889739776,225.6417507514333,02010305305
66.0122143155789,36.75680115299279,73.51360230598559,70.5130471098229,54.760132329968854,45.758466741480824,198.78678174577735,123.77290184171044,01010619327
56.14927825411824,71.81884427852333,90.10000464032927,88.79420747162884,69.20724994112248,74.43043861592417,176.28261777455725,148.86087723184835,02010512333
44.9520675325121,54.64761151011275,73.15728637644126,71.3944601986957,58.1732638656039,52.88478533236718,77.5643518208052,96.9554397760065,01010517343
45.833480621384886,52.88478533236718,70.5130471098229,75.21391691714443,48.18391552504565,52.88478533236718,153.95348618978,166.8808781599142,02021030322
96.62899048383139,82.26522162812672,135.80290554484412,112.29855650823647,95.32319331513096,94.01739614643054,231.1260988599751,235.04349036607636,01010621314
55.82282896194314,61.69891622109505,76.38913436897482,101.85217915863309,60.71956834456973,44.07065444363932,254.63044789658272,239.94022974870296,01010517329
45.462359320806875,51.029178829477104,78.86327637282825,77.00766986993818,53.81258858381222,55.6681950867023,105.76957066473436,120.61442268785498,01010619337
47.29533647610073,42.99576043281885,53.31474293669537,65.35355585788464,43.85567564147522,48.15525168475711,93.73075774354508,101.46999462145249,010106193130
39.03400822150911,56.66226999896484,92.54837433164256,54.14394688789973,37.77484666597656,50.99604299906835,112.6949592201634,117.10202466452733,01010518333
44.258189143399484,36.00666235395212,102.01887666953102,94.51748867912433,42.75791154531815,28.505274363545432,124.5230406407511,136.5252614254018,02021557331
55.40310844343228,65.47640088769269,79.74689851706162,88.14130888727863,62.9580777766276,72.1919291838663,109.96677584984286,152.77826873794962,02010408326
68.2626307127009,55.510271129009524,93.76734988008366,93.76734988008366,65.26207551653823,64.51193671749756,142.52637181772715,168.03109098510993,02021139308
57.29185077673111,80.42894435964175,133.31372969200893,132.21196333091794,62.80068258218603,74.92011255418684,135.5172624141909,172.97731869128432,01010207318
52.381120710154164,67.49105937654478,108.79155839801248,102.74758293145624,58.42509617671041,79.57901030965728,149.08472817505415,176.28261777455728,01010620367
50.926089579316546,76.78087351958494,91.66696124276977,75.21391691714443,50.926089579316546,70.5130471098229,120.6556583879192,180.9834875818788,02021032315
51.64335844663086,47.67079241227464,94.34844331596022,14.897122628835826,42.70508486932937,96.33472633313833,128.61182536228262,136.55695743099506,02021135364
50.14261127809629,51.709567880536795,72.08000371226342,92.45043954399003,50.926089579316546,57.97739429029883,99.50174425497232,111.25391877327614,02021557323
61.937135974844445,79.08895824480138,76.23032119980854,78.13607922980376,53.36122483986598,59.07849892985163,126.73290899468171,149.60200535462428,01010414319
49.90154103156698,30.374851062692944,59.12247796131305,64.00415045353157,50.44394908625792,46.10468464873036,113.90569148509854,105.76957066473436,02021139321
62.454413154414574,63.46174239884062,77.5643518208052,85.62298577621353,62.454413154414574,63.46174239884062,164.19466684144479,146.06274044177601,01010103301
52.50971593284685,95.267627478165,187.5346997601673,138.77567782252382,79.51471269831094,78.76457389927027,165.7806745879879,188.284838559208,02020618311
64.46907164326666,62.454413154414574,95.69627822047394,101.74025368703019,64.46907164326666,64.46907164326666,177.2899470189833,171.24597155242705,02021558305
47.41394547039816,64.43433615207955,88.74917998305297,79.0232424506636,46.19820327884949,87.5334377915043,143.45757860274315,158.0464849013272,01010621357
