FOOT_L,FOOT_R,HAND_L,HAND_R,HEAD,LOWER_ARM_L_x,LOWER_ARM_R_x,LOWER_LEG_L_x,LOWER_LEG_R_x,TORSO,UPPER_ARM_L_x,UPPER_ARM_R_x,UPPER_LEG_L_x,UPPER_LEG_R_x,name,Height_cm,Weight_kg,EYE,HIP,LOWER_ARM_L_y,LOWER_ARM_R_y,LOWER_LEG_L_y,LOWER_LEG_R_y,SHOULDER,UPPER_ARM_L_y,UPPER_ARM_R_y,UPPER_LEG_L_y,UPPER_LEG_R_y,Age_M
66.23952910316697,71.58142661148689,40.59842106323137,42.735180066559344,326.9241275091789,53.418975083199165,59.82925209318307,99.35929365475046,119.65850418636614,628.2071469784222,55.55573408652714,55.55573408652714,122.8636426913581,141.0260942196458,02020926317,86.55,11.9,3.2108604882943586,9.65378331527608,12.330034138676824,10.872043245656648,16.214687877604586,15.909078694340716,17.50953570758792,14.906888980519373,14.847893525725649,15.4580544087667,15.543348351057956,25.97257423400879
51.351893003892776,63.61503163168806,45.98676985423233,73.57883176677174,344.13432774250526,69.7466009455857,83.5426319018554,108.06890915744594,82.00973957338098,630.7851931672202,60.549246974739226,62.082139303213644,146.39121736930625,160.95369448981316,02021027317,87.2,11.4,2.439965773980865,9.227695266560113,14.145094074817095,13.138833442503273,12.177192940225813,12.110104580157412,15.84689382478616,11.649227553931992,11.344962778566284,15.37784340945892,15.097392204434161,37.90680694580078
82.85283035404191,65.2245685765862,68.75022093207734,63.46174239884062,509.45676536847054,77.5643518208052,86.37848270953306,149.8402251083737,149.8402251083737,1249.8437600216112,89.9041350650242,86.37848270953306,208.0134889739776,225.6417507514333,02010305305,92.25,12.9,1.6535732290589742,15.718880060778234,15.152567476346777,17.710094446158195,20.893584218731245,22.762997292237397,15.835946755819194,14.925175986665144,7.700543762126794,23.631376221668766,22.477308970097745,43.5944709777832
56.149278254118244,63.98406126632079,37.8681178923123,48.3144952419157,381.2927732605239,56.149278254118244,71.81884427852333,90.10000464032929,88.79420747162884,693.3782965799252,69.20724994112247,74.43043861592417,176.28261777455725,148.86087723184838,02010512333,94.9,13.2,5.509585905490487,9.947917717163062,13.885691104183092,13.91737769909258,14.21525337411389,15.075129018296206,16.11456543093797,15.011197858408599,15.482200184526992,19.133996330950048,20.24670516695276,43.298583984375
58.17326386560389,52.88478533236718,32.6122842882931,56.41043768785833,247.67707797325298,44.9520675325121,54.64761151011275,73.15728637644126,71.39446019869571,509.45676536847054,58.17326386560389,52.88478533236718,77.5643518208052,96.95543977600651,01010517343,85.35,10.3,4.564301793560711,9.290279655200363,10.135887520122976,9.558163740835157,12.820176833481614,13.50012722319262,15.731824699960606,10.627428637262954,11.72314204970537,13.996322483887127,13.590328245158323,27.09038162231445
60.30721134392749,59.37940809248245,26.906294291906107,35.25652355491145,289.474614450852,45.46235932080688,51.029178829477104,78.86327637282825,77.00766986993818,569.6711963872535,53.812588583812214,55.6681950867023,105.76957066473436,120.61442268785498,01010619337,87.0,12.2,3.9149710987209625,12.279065659825175,11.168569515707686,13.308951587919012,13.354487994646588,13.980404344437408,15.718255907614045,11.371084261781665,8.332791624264681,18.22527658093053,15.540819639532463,33.13969039916992
40.50749514819614,50.25929953572484,22.504163971220077,27.755135564504762,224.2915009131601,44.2581891433995,36.006662353952116,102.01887666953102,94.51748867912431,435.83064224262887,42.75791154531815,28.50527436354543,124.52304064075109,136.5252614254018,02021557331,86.1,10.1,4.935041653336876,9.342444973750132,10.877411444657264,11.736758854095433,13.884004159174365,13.4956578763463,16.301491202725266,9.13114501612252,7.290324800491555,14.856895781068184,14.106627336990329,27.25476455688477
76.02187891527781,74.92011255418684,27.54415902727457,55.08831805454915,297.4769174945654,57.29185077673111,80.42894435964175,133.3137296920089,132.21196333091794,708.4357701815021,62.800682582186035,74.92011255418684,135.5172624141909,172.9773186912843,01010207318,87.35,10.8,5.0918346373749035,11.610089685686779,12.160773489769163,11.707982787024903,16.627779976216402,15.93010677718364,17.33857956141047,12.201797789898567,13.533145272616107,14.690890548283699,15.588224388835926,30.37804985046387
47.79217637443553,55.62695938663807,7.051304710982291,31.339132048810182,338.46262612715,50.926089579316546,76.78087351958494,91.66696124276976,75.21391691714445,705.130471098229,50.926089579316546,70.5130471098229,120.6556583879192,180.98348758187882,02021032315,87.0,11.7,5.355266578692762,12.165807066234931,11.185601896158664,13.227466039242652,15.981190735118954,14.60947028344424,19.419337688715032,11.917908444451538,12.011313184718096,15.139506391359172,16.2209396788692,35.408180236816406
47.00869807321528,45.44174147077477,28.988697145149413,27.42174054270891,274.2174054270891,50.14261127809628,51.709567880536795,72.08000371226342,92.45043954399004,469.30350243093244,50.926089579316546,57.977394290298825,99.50174425497231,111.25391877327614,02021557323,88.0,12.0,4.907123683119762,10.815141848517632,10.932936172025114,10.567943005677083,15.449792749737394,16.158866604030088,15.627398813263992,11.710439809958821,11.961338321104071,14.311637496898214,15.739388965672704,37.77530288696289
