LOWER_ARM_L,LOWER_ARM_R,LOWER_LEG_L,LOWER_LEG_R,UPPER_ARM_L,UPPER_ARM_R,UPPER_LEG_L,UPPER_LEG_R,name
52.0,59.0,94.0,83.0,54.0,47.0,192.0,185.0,02021555317
70.0,64.0,79.0,77.0,66.0,69.0,237.0,308.0,01010204329
79.0,109.0,156.0,131.0,73.0,74.0,184.0,198.0,02021027333
36.0,33.0,123.0,100.0,51.0,54.0,97.0,133.0,02021034351
68.0,73.0,113.0,104.0,71.0,80.0,157.0,149.0,01010102338
64.0,73.0,120.0,96.0,70.0,72.0,157.0,169.0,01010204356
89.0,47.0,105.0,126.0,62.0,69.0,140.0,173.0,02021137330
46.0,79.0,89.0,95.0,77.0,74.0,151.0,205.0,02021248336
34.0,47.0,69.0,84.0,42.0,56.0,147.0,132.0,010101023167
63.0,70.0,89.0,91.0,44.0,68.0,110.0,175.0,02010510328
65.0,50.0,103.0,88.0,58.0,68.0,152.0,153.0,01010204353
61.0,83.0,134.0,137.0,78.0,84.0,185.0,168.0,01010620359
27.0,29.0,61.0,71.0,24.0,35.0,71.0,78.0,01010205354
70.0,91.0,139.0,163.0,55.0,69.0,158.0,198.0,01010518318
73.0,65.0,118.0,128.0,79.0,88.0,259.0,198.0,01010516304
57.0,54.0,121.0,127.0,68.0,60.0,159.0,134.0,010106213141
61.0,89.0,110.0,91.0,59.0,106.0,135.0,144.0,01010309324
77.0,72.0,110.0,117.0,69.0,88.0,220.0,207.0,02021139326
55.0,57.0,140.0,122.0,63.0,56.0,179.0,166.0,01010414320
53.0,56.0,86.0,81.0,41.0,78.0,141.0,132.0,02020822349
103.0,101.0,158.0,152.0,87.0,82.0,218.0,267.0,02021136305
64.0,66.0,136.0,110.0,66.0,65.0,145.0,159.0,01010310309
68.0,53.0,90.0,82.0,49.0,63.0,141.0,143.0,02020926302
57.0,37.0,85.0,99.0,61.0,41.0,167.0,192.0,01010102384
66.0,62.0,74.0,98.0,64.0,54.0,131.0,147.0,01010620376
44.0,169.0,373.0,89.0,70.0,66.0,185.0,243.0,02020615315
60.0,69.0,123.0,147.0,61.0,78.0,205.0,255.0,02010510312
55.0,67.0,97.0,83.0,67.0,88.0,182.0,202.0,02020822318
54.0,82.0,100.0,110.0,62.0,47.0,156.0,172.0,010101033121
65.0,51.0,94.0,106.0,50.0,63.0,184.0,211.0,01010414329
52.0,51.0,76.0,91.0,35.0,38.0,147.0,166.0,02021558302
104.0,79.0,144.0,161.0,85.0,80.0,160.0,199.0,01010207339
60.0,57.0,79.0,77.0,70.0,68.0,139.0,152.0,01010309382
99.0,144.0,151.0,189.0,71.0,84.0,191.0,230.0,02020617313
3.0,210.0,97.0,143.0,0.0,25.0,244.0,147.0,02021032335
61.0,56.0,73.0,81.0,56.0,71.0,130.0,139.0,02021135303
62.0,66.0,99.0,122.0,60.0,76.0,157.0,155.0,02021138321
46.0,65.0,101.0,97.0,43.0,72.0,136.0,138.0,01010620363
56.0,61.0,111.0,93.0,66.0,82.0,158.0,186.0,02020822319
63.0,72.0,99.0,111.0,66.0,79.0,173.0,170.0,01010620306
104.0,120.0,233.0,172.0,57.0,127.0,205.0,304.0,02020616302
51.0,49.0,102.0,111.0,60.0,56.0,166.0,164.0,01010412354
56.0,46.0,132.0,133.0,56.0,52.0,149.0,133.0,02020925301
70.0,104.0,161.0,147.0,83.0,71.0,163.0,200.0,02020614316
90.0,71.0,99.0,98.0,77.0,71.0,219.0,186.0,02021139325
49.0,50.0,92.0,79.0,54.0,51.0,136.0,137.0,01010413316
100.0,118.0,157.0,148.0,89.0,93.0,172.0,198.0,02021033324
60.0,68.0,122.0,117.0,67.0,75.0,186.0,186.0,02010409307
57.0,51.0,73.0,78.0,41.0,52.0,168.0,186.0,02021240318
72.0,63.0,164.0,148.0,60.0,70.0,127.0,191.0,01010207336
54.0,61.0,105.0,100.0,62.0,75.0,186.0,188.0,02021138326
41.0,95.0,182.0,123.0,96.0,81.0,121.0,244.0,02021242303
66.0,57.0,84.0,90.0,67.0,56.0,167.0,166.0,01010206315
47.0,45.0,81.0,84.0,37.0,44.0,93.0,110.0,02021556335
73.0,60.0,88.0,90.0,66.0,77.0,142.0,148.0,02010306309
64.0,64.0,93.0,90.0,51.0,72.0,157.0,206.0,02021138320
60.0,64.0,104.0,97.0,61.0,67.0,143.0,147.0,01010311324
68.0,53.0,88.0,92.0,61.0,45.0,148.0,153.0,02020924303
64.0,52.0,105.0,100.0,54.0,66.0,146.0,145.0,01010621364
69.0,62.0,105.0,92.0,65.0,70.0,147.0,132.0,01010205302
97.0,99.0,171.0,135.0,93.0,91.0,229.0,255.0,02021027307
63.0,158.0,85.0,273.0,48.0,135.0,230.0,333.0,01010413355
51.0,41.0,66.0,65.0,53.0,49.0,162.0,181.0,02021243304
48.0,68.0,80.0,99.0,47.0,59.0,157.0,137.0,01010620372
75.0,69.0,92.0,96.0,63.0,56.0,164.0,143.0,02020923313
57.0,45.0,80.0,89.0,71.0,59.0,147.0,156.0,02020822335
67.0,71.0,88.0,79.0,55.0,72.0,151.0,150.0,01010414321
48.0,61.0,82.0,83.0,39.0,52.0,127.0,187.0,01010308387
48.0,68.0,81.0,90.0,43.0,60.0,119.0,140.0,02010202327
48.0,52.0,68.0,62.0,31.0,54.0,139.0,139.0,02010510335
96.0,106.0,87.0,137.0,84.0,71.0,145.0,205.0,01010207316
80.0,80.0,151.0,140.0,86.0,79.0,277.0,199.0,01010102376
61.0,47.0,101.0,107.0,63.0,55.0,159.0,149.0,02010409309
55.0,48.0,108.0,96.0,55.0,64.0,164.0,174.0,010101013100
127.0,125.0,225.0,206.0,140.0,85.0,437.0,380.0,02021033319
58.0,61.0,101.0,85.0,62.0,58.0,129.0,121.0,01010621347
184.0,161.0,372.0,215.0,160.0,125.0,348.0,351.0,02020615321
57.0,55.0,124.0,85.0,47.0,45.0,147.0,121.0,02021560315
80.0,97.0,130.0,115.0,85.0,98.0,186.0,190.0,02020926312
41.0,64.0,52.0,210.0,66.0,33.0,113.0,220.0,02020617352
50.0,52.0,84.0,80.0,43.0,59.0,113.0,137.0,02021556350
73.0,68.0,114.0,107.0,74.0,73.0,195.0,221.0,02021135306
74.0,86.0,106.0,109.0,69.0,84.0,166.0,161.0,01010620340
93.0,64.0,103.0,103.0,73.0,76.0,159.0,167.0,010101013103
108.0,118.0,128.0,155.0,86.0,85.0,150.0,261.0,02021136315
65.0,77.0,133.0,92.0,79.0,53.0,135.0,124.0,01010517336
58.0,52.0,104.0,105.0,58.0,59.0,167.0,159.0,010101023147
56.0,51.0,125.0,87.0,53.0,46.0,146.0,98.0,02010512331
44.0,52.0,81.0,72.0,52.0,45.0,143.0,165.0,02021137306
83.0,62.0,87.0,83.0,86.0,68.0,154.0,179.0,01010204357
48.0,54.0,63.0,67.0,39.0,56.0,116.0,152.0,01010414356
57.0,50.0,85.0,109.0,52.0,55.0,130.0,164.0,01010414336
59.0,69.0,76.0,102.0,61.0,80.0,143.0,183.0,01010620368
51.0,53.0,65.0,82.0,49.0,53.0,135.0,128.0,01010619303
85.0,92.0,156.0,164.0,72.0,71.0,179.0,241.0,02021032314
94.0,59.0,169.0,142.0,50.0,73.0,187.0,204.0,02020617341
46.0,42.0,81.0,54.0,46.0,50.0,116.0,98.0,02010409302
44.0,48.0,65.0,62.0,37.0,58.0,125.0,159.0,02021240301
48.0,61.0,79.0,93.0,53.0,59.0,141.0,130.0,010101023162
59.0,87.0,139.0,135.0,60.0,84.0,128.0,166.0,02021136302
44.0,74.0,100.0,152.0,45.0,66.0,115.0,181.0,02020925307
57.0,49.0,79.0,82.0,51.0,57.0,142.0,147.0,02010306316
73.0,78.0,112.0,107.0,70.0,66.0,190.0,193.0,01010207333
